arquitetura,consulta,repeticao,tempo_s
parquet_bruto,Q1,1,0.1796
parquet_bruto,Q1,2,0.1657
parquet_bruto,Q1,3,0.1874
parquet_bruto,Q1,4,0.1741
parquet_bruto,Q1,5,0.1694
parquet_bruto,Q1,6,0.1735
parquet_bruto,Q1,7,0.1567
parquet_bruto,Q1,8,0.1996
parquet_bruto,Q1,9,0.176
parquet_bruto,Q1,10,0.1343
parquet_bruto,Q1,11,0.2068
parquet_bruto,Q1,12,0.1428
parquet_bruto,Q1,13,0.1499
parquet_bruto,Q1,14,0.1654
parquet_bruto,Q1,15,0.1418
parquet_bruto,Q1,16,0.1566
parquet_bruto,Q1,17,0.1607
parquet_bruto,Q1,18,0.1524
parquet_bruto,Q1,19,0.1396
parquet_bruto,Q1,20,0.139
parquet_bruto,Q1,21,0.1997
parquet_bruto,Q1,22,0.1168
parquet_bruto,Q1,23,0.1414
parquet_bruto,Q1,24,0.1673
parquet_bruto,Q1,25,0.1874
parquet_bruto,Q1,26,0.1622
parquet_bruto,Q1,27,0.1504
parquet_bruto,Q1,28,0.1725
parquet_bruto,Q1,29,0.1578
parquet_bruto,Q1,30,0.1422
parquet_bruto,Q2,1,0.1506
parquet_bruto,Q2,2,0.1357
parquet_bruto,Q2,3,0.1533
parquet_bruto,Q2,4,0.1429
parquet_bruto,Q2,5,0.1557
parquet_bruto,Q2,6,0.1497
parquet_bruto,Q2,7,0.141
parquet_bruto,Q2,8,0.1385
parquet_bruto,Q2,9,0.1757
parquet_bruto,Q2,10,0.1369
parquet_bruto,Q2,11,0.1409
parquet_bruto,Q2,12,0.1142
parquet_bruto,Q2,13,0.1119
parquet_bruto,Q2,14,0.1183
parquet_bruto,Q2,15,0.1851
parquet_bruto,Q2,16,0.1307
parquet_bruto,Q2,17,0.139
parquet_bruto,Q2,18,0.1305
parquet_bruto,Q2,19,0.1477
parquet_bruto,Q2,20,0.1187
parquet_bruto,Q2,21,0.1465
parquet_bruto,Q2,22,0.1499
parquet_bruto,Q2,23,0.1326
parquet_bruto,Q2,24,0.1363
parquet_bruto,Q2,25,0.1227
parquet_bruto,Q2,26,0.1328
parquet_bruto,Q2,27,0.1064
parquet_bruto,Q2,28,0.1481
parquet_bruto,Q2,29,0.1268
parquet_bruto,Q2,30,0.1288
parquet_bruto,Q3,1,0.5023
parquet_bruto,Q3,2,0.5455
parquet_bruto,Q3,3,0.5794
parquet_bruto,Q3,4,0.5382
parquet_bruto,Q3,5,0.507
parquet_bruto,Q3,6,0.4994
parquet_bruto,Q3,7,0.5193
parquet_bruto,Q3,8,0.5206
parquet_bruto,Q3,9,0.4721
parquet_bruto,Q3,10,0.519
parquet_bruto,Q3,11,0.4808
parquet_bruto,Q3,12,0.4932
parquet_bruto,Q3,13,0.6115
parquet_bruto,Q3,14,0.4874
parquet_bruto,Q3,15,0.5208
parquet_bruto,Q3,16,0.4703
parquet_bruto,Q3,17,0.5031
parquet_bruto,Q3,18,0.5485
parquet_bruto,Q3,19,0.4881
parquet_bruto,Q3,20,0.521
parquet_bruto,Q3,21,0.4831
parquet_bruto,Q3,22,0.4761
parquet_bruto,Q3,23,0.5338
parquet_bruto,Q3,24,0.532
parquet_bruto,Q3,25,0.5038
parquet_bruto,Q3,26,0.5283
parquet_bruto,Q3,27,0.5181
parquet_bruto,Q3,28,0.5332
parquet_bruto,Q3,29,0.4878
parquet_bruto,Q3,30,0.4911
parquet_bruto,Q4,1,0.2061
parquet_bruto,Q4,2,0.1411
parquet_bruto,Q4,3,0.1569
parquet_bruto,Q4,4,0.2039
parquet_bruto,Q4,5,0.1516
parquet_bruto,Q4,6,0.1909
parquet_bruto,Q4,7,0.1424
parquet_bruto,Q4,8,0.2171
parquet_bruto,Q4,9,0.1548
parquet_bruto,Q4,10,0.1406
parquet_bruto,Q4,11,0.1738
parquet_bruto,Q4,12,0.1433
parquet_bruto,Q4,13,0.1178
parquet_bruto,Q4,14,0.1474
parquet_bruto,Q4,15,0.2034
parquet_bruto,Q4,16,0.2185
parquet_bruto,Q4,17,0.1415
parquet_bruto,Q4,18,0.1476
parquet_bruto,Q4,19,0.1469
parquet_bruto,Q4,20,0.1547
parquet_bruto,Q4,21,0.1556
parquet_bruto,Q4,22,0.1344
parquet_bruto,Q4,23,0.1459
parquet_bruto,Q4,24,0.1582
parquet_bruto,Q4,25,0.1404
parquet_bruto,Q4,26,0.1409
parquet_bruto,Q4,27,0.1528
parquet_bruto,Q4,28,0.1315
parquet_bruto,Q4,29,0.1858
parquet_bruto,Q4,30,0.1774
parquet_bruto,Q5,1,0.1699
parquet_bruto,Q5,2,0.1261
parquet_bruto,Q5,3,0.134
parquet_bruto,Q5,4,0.1029
parquet_bruto,Q5,5,0.1553
parquet_bruto,Q5,6,0.1706
